"Email","Email"
"SMS","SMS"
"Mobile number cannot be null.","Mobile number cannot be null."
"Customer group ID cannot be null.","Customer group ID cannot be null."
"Dark","Dark"
"Light","Light"
"System (Default)","System (Default)"
